plaza_code,Tollname,Latitude,Longitude,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
47001,Tatiyawas,27.089775,75.7415,75,120,250,395,395,395,480
184001,Tendua (Gorakhpur Bypass),26.72384741,83.2743271,100,160,335,365,530,530,645
92001,Thakurtola (End of Durg Bypass),21.11789992,81.12238424,115,205,410,660,660,660,660
312030,Thana,29.91011295,76.50666378,85,140,290,315,455,455,555
352061,Thenepalli,13.37560696,79.07836163,35,55,110,120,175,175,215
360067,Thennamadevi Toll plaza,11.98927468,79.4750928,35,55,120,130,185,185,225
8001,Thikariya (Jaipur),26.843328,75.615578,85,140,295,320,460,460,560
356103,Thimmalapura,15.05735232,76.35691202,90,145,305,330,480,480,580
50002,Thiriyakhetal,28.480289,79.283886,160,245,490,745,745,745,970
330122,Thirpali Badi,28.39955638,75.54886001,40,65,135,150,215,215,260
19002,Thirumandurai,11.39684134,78.99363068,65,115,230,375,375,375,375
59001,Thirupparaithurai,10.88590046,78.55723338,30,55,115,180,180,180,180
360068,Thirupathisaram Toll plaza,8.20623903,77.46042301,40,70,145,155,225,225,275
367006,Thiruvallam,8.432799,76.959632,155,245,520,565,810,810,990
536102,Thiruvangad Toll Plaza,11.771619,75.493803,75,120,250,270,390,390,475
536087,Thuvakudi,10.73913321,78.82494839,35,60,120,135,190,190,235
356030,Tidagundi,17.00835,75.75887,110,180,375,410,585,585,715
330060,Tidiyasar,28.057867,74.747246,65,105,215,235,340,340,415
360047,Thiruppachethi,9.780766,78.335269,90,145,310,335,485,485,590
127003,Titarpani,23.217097,79.043014,125,200,415,200,650,650,795
330105,Titoli,26.77055232,76.33942259,80,130,275,300,430,430,525
380030,Toda,25.24255336,85.78642729,50,85,175,190,275,275,335
180001,Tundla,27.21827867,78.27244362,105,175,365,395,570,570,695
546009,Uchharangdesar,28.44756384,73.79749661,70,115,240,260,375,375,460
330062,Udairamsar,28.02338311,73.41349239,20,35,75,80,120,120,145
345060,Ujara,25.0855796,79.7084972,40,65,135,145,210,210,255
318011,Ujroo,33.56771667,75.18590814,155,255,530,580,830,830,1015
320097,Umapur,25.27187846,81.74300681,50,80,165,180,260,260,315
536100,Undewadi (Supe) Toll Palza,18.27100765,74.52555148,70,110,235,255,365,365,445
340040,Undri Toll Plaza,20.43976691,76.45918166,50,80,165,180,260,260,315
330077,Undavariya/ Sirohi,24.63358781,72.90710956,50,75,160,175,255,255,310
239300,Unguturu,16.82377356,81.43076779,110,180,380,415,595,595,725
314018,Usma,31.37014196,74.9548438,160,260,540,590,845,845,1030
220004,Uthamam,25.033571,72.94353,145,225,470,515,730,730,910
352057,Vaddupalli,14.67034293,77.44993416,55,90,185,200,290,290,355
2009,Vadodara,22.413798,73.149308,135,220,465,505,725,725,885
360036,Vagaikulam ( Pudukottai ),8.73651934,78.02392662,75,125,260,285,410,410,500
97001,Vaghasia,22.64967676,70.95459684,115,185,390,425,610,610,740
340049,Vaidyakinhi Toll Plaza,18.78963111,75.57821452,30,50,100,110,155,155,190
43001,Vaigundam,11.513282,77.923946,75,130,260,420,420,420,420
560013,Valavanthankottai,9.82483807,78.08977953,80,140,280,455,455,455,455
340036,Valsang Toll Plaza,17.58973907,76.07449377,65,105,220,240,345,345,420
176001,Vallam Toll plaza,10.744371,78.834044,35,55,120,130,190,190,230
360034,Vanagaram (Chennai Bypass),13.04356263,80.14962894,55,85,180,195,280,280,340
16001,Vanagari,15.819341,76.174865,65,100,215,335,335,335,410
98001,Vanana,21.66495191,69.7096302,80,130,270,295,425,425,520
167001,Vaniyambadi,12.64856083,78.58334023,105,175,360,570,570,570,690
336007,Vantada,23.61611563,73.25433738,35,60,120,135,190,190,235
336011,Varahi,23.79122896,71.42762933,65,105,215,235,335,335,410
51002,Varwade,17.95754645,75.33107931,75,120,250,395,395,395,480
2012,Vasad,22.453302,73.070523,155,240,490,535,745,745,950
336017,Vavadikhurd,22.79236878,73.5333143,140,215,440,670,670,670,865
58003,Veeracholapuram (West),11.73640427,79.00960151,65,115,225,365,365,365,365
352056,Veeravalli,16.98523161,81.47611369,160,255,535,585,840,840,1025
536104,Velampatti,10.99352012,77.41813176,45,70,145,160,230,230,280
170001,Velanchettiyur,10.69906708,77.93285757,110,190,380,610,610,610,610
69001,Vempadu,17.39786613,82.67587398,140,225,470,510,735,735,895
360061,Vennathur,9.54261048,78.8634593,35,60,120,130,190,190,230
320068,Vighakhet,24.789578,78.448855,90,140,300,325,465,465,570
42001,Vijaymangalmam,11.245714,77.519702,70,120,235,380,380,380,380
18001,Vikravandi(Villupuram),12.024441,79.538059,105,180,360,580,580,580,580
345079,Vishankheda,23.022194,77.570611,40,65,135,145,210,210,255
340055,Wadgaon ( Umred ),20.449118,78.370512,45,75,155,170,240,240,295
30002,Waryam Nangal,31.73265585,75.0424633,115,180,365,560,560,560,715
340003,Yedeshi,18.30762756,75.98931382,75,120,250,275,395,395,480
356024,Yeddore,12.24365048,76.88325212,45,70,150,165,235,235,285
350036,Yerkaram,17.24732462,79.5803397,45,70,145,160,225,225,275
352043,Yerradoddi,14.16930519,78.13483938,65,105,220,240,350,350,425
314019,Zidda,30.38509859,74.98302336,125,200,415,455,650,650,795
350047,Baloh Fee Plaza,31.42039336,76.79828377,65,105,225,245,350,350,425
536174,Chhegaon Makhan,21.78448463,76.23995004,100,160,340,370,530,530,645
570074,Secondary Toll (Gosthani Gate /Sheela Nagar),17.71514119,83.26735598,47,82,164,267,267,267,328
570060,Daboka (Mikirati Hawgaon),26.1309268,92.83892649,95,155,325,355,510,510,625
570063,Kalia Bhomora Bridge (MoRTH),26.56758093,92.86928206,26,39,78,86,86,116,156
570076,Telipara,26.44407069,89.94273326,50,75,160,175,255,255,310
570058,Badarpur Elevated,28.47472128,77.30541666,35,52,104,104,104,104,104
570073,Plaza 2,28.49002826,77.30451186,35,52,104,104,104,104,104
570071,Nivedita Setu,22.65410614,88.32505457,65,125,125,175,300,300,350
570072,Plaza 1,28.48989792,77.30387778,35,52,104,104,104,104,104
570069,Laxmannath,21.83859378,87.24663733,80,125,265,290,415,415,505
570064,Kaniyur,11.09506368,77.15147588,120,185,375,570,570,570,740
570059,Bharthan Karjan,22.0147857,73.11546232,105,180,360,580,580,535,535
570062,Hesmi (Mandar),23.47147302,85.06142359,75,120,255,280,400,400,485
570061,Doddakarenahalli (Neelmangala ),13.06819929,77.36061591,50,90,185,295,295,295,295
570068,Kundannur (MoRTH),9.93931656,76.27140118,180,280,580,895,895,895,1125
570065,Kardha Toll Plaza ( Bhnadara ),21.1395424,79.67226488,25,0,125,200,200,200,200
570066,Kawdipath (MoRTH),18.49326436,73.99310291,25,25,60,60,0,0,0
570067,Kharpada (MoRTH),18.84500234,73.09461768,10,30,30,50,0,0,0
570075,SixML,29.81057245,73.87545007,80,130,270,295,420,420,515
345049,Allonia,22.26975787,79.54509047,60,95,195,215,305,305,375
352021,Chilakapalem,18.2664145,83.7969608,75,120,245,270,385,385,470
340033,Fekri (MoRTH),21.04001025,75.82921759,10,10,35,45,0,0,0
345013,Ashoka DSC Katni bypass (MoRTH),23.76862376,80.33485353,20,60,215,215,215,300,0
367005,Kollam,8.921575,76.575862,30,45,95,105,150,150,180
234001,Palempalli,14.51346,78.791105,35,55,110,175,175,175,210
375014,Panikholi,20.89801866,86.21633883,115,185,385,420,605,605,735
318008,Thandikhui,32.61144013,74.93869432,85,135,280,305,440,440,535
340008,Kardha (MoRTH),21.1395141,79.67531122,21,21,106,169,0,0,0
536094,Dabwali Toll Plaza,29.9402019,74.7512062,0,0,0,0,0,0,0
536283,Khejarla Toll Plaza,26.44405961,73.79159113,0,0,0,0,0,0,0
545096,11 Miles Toll Plaza,23.14763074,77.49414571,0,0,0,0,0,0,0
330113,6 Ml Toll Plaza,29.51995963,74.33596651,0,0,0,0,0,0,0
536178,Aadsar Toll Plaza,28.24604893,74.17510725,0,0,0,0,0,0,0
536097,Abubshehar Toll Plaza,29.82470737,74.57539728,0,0,0,0,0,0,0
536140,Achhad Border Check Post,20.07486485,72.91366959,0,0,0,0,0,0,0
536020,Adalaj Toll Plaza,23.18649,72.5602,0,0,0,0,0,0,0
392022,Adityapur Toll Bridge,22.79978738,86.1433709,0,0,0,0,0,0,0
536305,Aetrampura Toll Plaza,27.08608322,77.06600362,0,0,0,0,0,0,0
520006,Agra Toll Plaza,27.30351412,78.00421074,0,0,0,0,0,0,0
2006,Ahmedabad (Ring Road) Toll Plaza,22.970089,72.66213528,0,0,0,0,0,0,0
2010,Ahmedabad Ring Road 2,22.9726325,72.65975552,0,0,0,0,0,0,0
2005,Ahmedabad Toll Plaza,22.975793,72.650335,0,0,0,0,0,0,0
556021,Ainoli Toll Plaza,17.503027,77.431011,0,0,0,0,0,0,0
540011,Airoli,19.15354266,72.96573723,0,0,0,0,0,0,0
546033,Airport - SewriSection,18.97020064,73.00794737,0,0,0,0,0,0,0
536157,Akkalkuva Check Post,21.52317061,74.41135816,0,0,0,0,0,0,0
311001,Akshardham Plaza DME Km2500,28.612334,77.281911,0,0,0,0,0,0,0
320013,ALEP Main Plaza21,27.053626,78.277169,0,0,0,0,0,0,0
320025,ALEP Main Plaza290,26.845635,80.710711,0,0,0,0,0,0,0
520004,ALEP Ramp Plaza 101,27.00362161,78.97738807,0,0,0,0,0,0,0
320018,ALEP Ramp Plaza 108,26.94995034,79.07587377,0,0,0,0,0,0,0
320019,ALEP Ramp Plaza 116,26.91523438,79.15594766,0,0,0,0,0,0,0
520030,ALEP Ramp Plaza 133,26.909319,79.331535,0,0,0,0,0,0,0
320020,ALEP Ramp Plaza 154,26.91365405,79.16018498,0,0,0,0,0,0,0
320021,ALEP Ramp Plaza 171,27.07084485,79.65356714,0,0,0,0,0,0,0
320022,ALEP Ramp Plaza 193,26.98899452,79.82716988,0,0,0,0,0,0,0
520003,ALEP Ramp Plaza 204,26.90977016,79.89600863,0,0,0,0,0,0,0
320024,ALEP Ramp Plaza 238,26.92581361,80.20160382,0,0,0,0,0,0,0
520001,ALEP Ramp Plaza 269,26.90493423,80.48489714,0,0,0,0,0,0,0
320014,ALEP Ramp Plaza 27,27.03880218,78.3353007,0,0,0,0,0,0,0
520002,ALEP Ramp Plaza 284,26.85062414,80.66880386,0,0,0,0,0,0,0
320015,ALEP Ramp Plaza 54,26.99899965,78.5812675,0,0,0,0,0,0,0
320016,ALEP Ramp Plaza 77,26.9715375,78.80684198,0,0,0,0,0,0,0
320017,ALEP Ramp Plaza 92,27.01587542,78.94622162,0,0,0,0,0,0,0
320023,ALEP Ramp Plaza220,26.91259106,80.02635665,0,0,0,0,0,0,0
536095,Alika Toll Plaza,29.9209392,74.7269695,0,0,0,0,0,0,0
536306,Alipur Mod Toll Plaza,27.16783359,77.03832058,0,0,0,0,0,0,0
517000,Alooground Manali,32.1998437,77.18805878,0,0,0,0,0,0,0
536022,Alva Toll Plaza,23.2690085,73.21242218,0,0,0,0,0,0,0
536235,Amarpura RSRDC Toll Plaza,26.34208402,74.12711949,0,0,0,0,0,0,0
570038,Amarpura Toll Plaza,29.08501934,75.3207251,0,0,0,0,0,0,0
556042,Aminbhavi Toll Plaza,15.52816125,75.04987995,0,0,0,0,0,0,0
545005,Amlaha Toll Plaza,23.1023319,76.87598678,0,0,0,0,0,0,0
536259,Amli Toll Plaza,24.84189553,73.126013,0,0,0,0,0,0,0
312055,Amrawali Khera Toll Plaza,29.36955257,76.47918862,0,0,0,0,0,0,0
536008,AMTL-TP-01 Vasna-Iyava,23.00842061,72.3462432,0,0,0,0,0,0,0
536009,AMTL-TP-02-Malvan,23.07178381,71.78480507,0,0,0,0,0,0,0
