StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single,,,,,,,,,,,,,
Bongulur,Shamirpet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Nanakramguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Nanakramguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Saragudem,110,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Taramatipet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Rajendra Nagar,40,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Nanakramguda,40,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Nanakramguda,140,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Nanakramguda,180,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Nanakramguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,TSPA,20,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Nanakramguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Patancheru,60,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Pedda Amberpet,140,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Pedda Golconda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Shamirpet,150,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Raviryal,70,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Tukkuguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Sultanpur,160,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Raviryal,10,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Saragudem,170,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Taramatipet,60,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Raviryal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Raviryal,120,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Raviryal,150,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Raviryal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,TSPA,70,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Raviryal,90,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Raviryal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Raviryal,50,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Raviryal,30,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Shamirpet,120,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Saragudem,90,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Tukkuguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Sultanpur,30,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Saragudem,150,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Saragudem,110,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Saragudem,170,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Shamshabad,140,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Taramatipet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Saragudem,120,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Saragudem,60,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Saragudem,20,0,0,0,0,0,0,,,,,,,,,,,,,
