StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
Patancheru,Raviryal,140,110,130,150,170,180,210
Pedda Amberpet,Raviryal,50,110,130,150,170,180,210
Pedda Golconda,Raviryal,30,110,130,150,170,180,210
Raviryal,Shamirpet,120,110,130,150,170,180,210
Ghatkesar,Saragudem,90,110,130,150,170,180,210
Saragudem,Tukkuguda,170,110,130,150,170,180,210
Saragudem,Sultanpur,30,110,130,150,170,180,210
Bongulur,Saragudem,150,110,130,150,170,180,210
Nanakramguda,Saragudem,110,110,130,150,170,180,210
Raviryal,Saragudem,170,110,130,150,170,180,210
Saragudem,Shamshabad,140,110,130,150,170,180,210
Saragudem,Taramatipet,110,110,130,150,170,180,210
Rajendra Nagar,Saragudem,120,110,130,150,170,180,210
Edulanagulapally,Saragudem,60,110,130,150,170,180,210
Medchal,Saragudem,20,110,130,150,170,180,210
Kandlakoya,Saragudem,250,110,130,150,170,180,210
Keesara,Saragudem,70,110,130,150,170,180,210
Saragudem,TSPA,110,110,130,150,170,180,210
Kokapet,Saragudem,100,110,130,150,170,180,210
Patancheru,Saragudem,50,110,130,150,170,180,210
Pedda Amberpet,Saragudem,120,110,130,150,170,180,210
Pedda Golconda,Saragudem,150,110,130,150,170,180,210
Saragudem,Shamirpet,40,110,130,150,170,180,210
Ghatkesar,Shamshabad,120,110,130,150,170,180,210
Shamshabad,Tukkuguda,30,110,130,150,170,180,210
Shamshabad,Sultanpur,110,110,130,150,170,180,210
Bongulur,Shamshabad,60,110,130,150,170,180,210
Nanakramguda,Shamshabad,50,110,130,150,170,180,210
Raviryal,Shamshabad,50,110,130,150,170,180,210
Saragudem,Shamshabad,140,110,130,150,170,180,210
Shamshabad,Taramatipet,100,110,130,150,170,180,210
Rajendra Nagar,Shamshabad,20,110,130,150,170,180,210
Edulanagulapally,Shamshabad,70,110,130,150,170,180,210
Medchal,Shamshabad,160,110,130,150,170,180,210
Kandlakoya,Shamshabad,170,110,130,150,170,180,210
Keesara,Shamshabad,140,110,130,150,170,180,210
Shamshabad,TSPA,30,110,130,150,170,180,210
Kokapet,Shamshabad,50,110,130,150,170,180,210
Patancheru,Shamshabad,90,110,130,150,170,180,210
Pedda Amberpet,Shamshabad,90,110,130,150,170,180,210
Pedda Golconda,Shamshabad,10,110,130,150,170,180,210
Shamirpet,Shamshabad,170,110,130,150,170,180,210
Ghatkesar,Taramatipet,20,110,130,150,170,180,210
Taramatipet,Tukkuguda,70,110,130,150,170,180,210
Sultanpur,Taramatipet,140,110,130,150,170,180,210
Bongulur,Taramatipet,40,110,130,150,170,180,210
Nanakramguda,Taramatipet,160,110,130,150,170,180,210
Raviryal,Taramatipet,60,110,130,150,170,180,210
Saragudem,Taramatipet,110,110,130,150,170,180,210
Shamshabad,Taramatipet,100,110,130,150,170,180,210
Rajendra Nagar,Taramatipet,120,110,130,150,170,180,210
Edulanagulapally,Taramatipet,170,110,130,150,170,180,210
Medchal,Taramatipet,90,110,130,150,170,180,210
Kandlakoya,Taramatipet,70,110,130,150,170,180,210
